Date,callsoffered,acdcalls,abncalls,acceptable
25-Jun-14,2853,2260,592,1418
26-Jun-14,2655,1884,766,1087
27-Jun-14,2702,2098,601,1375
28-Jun-14,1089,899,188,694
29-Jun-14,531,430,98,390
30-Jun-14,4440,2791,1643,1435
01-Jul-14,3724,2588,1134,1086
02-Jul-14,3136,2257,878,1032
03-Jul-14,2972,1935,1035,871
04-Jul-14,490,462,24,429
05-Jul-14,1124,863,251,643
06-Jul-14,709,605,98,495
07-Jul-14,4346,2650,1689,836
08-Jul-14,3376,2545,828,1059
09-Jul-14,2908,2162,746,795
10-Jul-14,2946,2115,831,636
11-Jul-14,3148,2363,777,1066
12-Jul-14,1349,1138,143,881
13-Jul-14,500,433,63,365
14-Jul-14,4271,2637,1631,1241
15-Jul-14,3524,2808,712,1466
16-Jul-14,2860,2361,498,1286
17-Jul-14,2650,2161,489,1146
18-Jul-14,2864,2162,700,1157
19-Jul-14,1227,1000,153,753
20-Jul-14,451,426,23,374
21-Jul-14,3672,2744,923,1414
22-Jul-14,3170,2674,494,1525
23-Jul-14,2829,2524,304,1611
24-Jul-14,2490,2170,319,1319
25-Jul-14,2868,2488,379,1567
26-Jul-14,1105,953,150,689
27-Jul-14,546,496,49,390
28-Jul-14,3929,2714,1212,1131
29-Jul-14,3033,2302,727,1181
30-Jul-14,2679,2122,556,1181
31-Jul-14,2807,2275,531,1344
01-Aug-14,3232,2547,680,1324
02-Aug-14,1143,1040,101,727
03-Aug-14,511,443,45,388
04-Aug-14,3605,2704,894,1279
05-Aug-14,2792,2346,445,1348
06-Aug-14,2635,2264,371,1259
07-Aug-14,2516,2263,250,1473
08-Aug-14,2552,2308,242,1490
09-Aug-14,1041,990,51,865
10-Aug-14,556,510,46,448
11-Aug-14,3284,2714,568,1549
12-Aug-14,2756,2577,179,1949
13-Aug-14,2302,2199,103,1851
14-Aug-14,2586,2357,229,1646
15-Aug-14,2736,2410,326,1605
16-Aug-14,1044,978,66,799
17-Aug-14,580,534,45,462
18-Aug-14,3646,2754,889,1312
19-Aug-14,3119,2516,598,1475
